Timestamp,Type
0.283900226,s
0.439727891,k
0.520090702,s
0.663219954,k
0.989024943,hc
1.190566893,k
1.336417233,sb
1.677097505,hc
1.865034013,k
2.030294784,hc
2.229478458,k
2.362086167,hc
2.563446712,k
2.701133786,sb
3.053968253,hc
3.236462585,k
3.395374149,k
3.72462585,hc
3.919455782,k
4.066394557,sb
4.368253968,hc
4.586575963,k
4.752698412,hc
4.931043083,k
5.093922902,hc
5.277006802,k
5.44217687,sb
5.600272108,sb
5.94324263,sb
6.15600907,k
6.487755102,hc
6.534648526,s
6.600272108,?
6.666848072,k
6.75,?
6.82324263,sb
7.168458049,hc
7.270748299,?
7.349047619,k
7.519909297,hc
7.722947845,k
7.869614512,hc
8.077641723,k
8.226802721,sb
8.550748299,hc
8.757346938,k
8.886303854,k
9.225532879,hc
9.412358276,k
9.57,sb
9.904489795,hc
10.08707483,k
10.24970522,hc
10.42954649,k
10.57945578,hc
10.77276644,k
10.93764172,sb
11.12970522,k
11.42952381,k
11.57643991,k
11.62433107,ho
11.89496599,hc
12.06931973,?
12.22795918,sb
12.55721088,hc
12.7614966,k
12.87124717,hc
13.19526077,hc
13.39501134,hc
13.52575964,sb
13.85941043,hc
14.05480726,hc
14.1929932,k
14.5244898,hc
14.73875283,hc
14.8831746,sb
15.21417234,k
15.40798186,hc
15.53705215,hc
15.86643991,hc
16.07621315,hc
16.21739229,sb
16.53092971,hc
16.72873016,k
16.85444444,k
16.9476644,ho
17.16498866,hc
17.51195011,sb
17.84163265,hc
18.06768707,k
18.1854195,hc
18.51517007,hc
18.72918367,hc
18.7878458,sb
18.87709751,sb
19.17097506,hc
19.21378685,k
19.36424036,k
19.49918367,k
19.68027211,sb
19.96337868,k
20.10267574,sb
20.40238095,k
20.73362812,k
20.90424036,sb
21.14843537,k
21.3045805,sb
21.61238095,k
21.79521542,k
21.91673469,k
21.99510204,ho
22.25632653,hc
22.56108844,sb
22.86585034,hc
23.10274376,k
23.21274376,hc
23.51480726,ho
23.86351474,sb
24.2155102,ho
24.4244898,k
24.54496599,k
24.87571429,hc
25.17603175,sb
25.50004535,hc
25.74698413,k
25.84380952,hc
26.16353741,ho
26.50077098,sb
26.84807256,ho
27.17024943,hc
27.36056689,k
27.47081633,hc
27.79283447,sb
28.11356009,ho
28.42412698,s
28.56333333,k
28.61471655,k
28.7092517,k
29.05197279,sb
29.36650794,ho
