putfile_dbztenkaichi,putfile_bui,callout_mouss,callout_pneumatic,callout_Turn-Table,callout_luckeymonkey,battleclip_daq,callout_azeem,callout_mcld,callout_adiao
0.477913832,0.726530612,0.06095238,0.262675736,0.280090702,0.455782312,0,0.322448979,0.017414965,0.092517006
5.481904761,1.83877551,0.348299319,0.444897959,0.434693877,0.905578231,0.584489795,0.49632653,0.772063492,0.339591836
5.65079365,2.214285714,0.638548752,0.577596371,0.515192743,1.117460317,1.122539682,0.57324263,0.942857142,0.619682539
5.87047619,2.481632653,0.919727891,0.779591836,0.659183673,1.214693877,1.523809523,0.622585034,1.118367346,0.870748299
6.019047619,2.783673469,1.204535147,0.981043083,0.982494331,1.372879818,1.775238095,0.712244897,1.311927437,1.129070294
6.272290249,2.987755102,1.399002267,1.097142857,1.185714285,2.189931972,2.148571428,0.891065759,1.47755102,1.291609977
6.455873015,3.944897959,1.498412698,1.184217687,1.335147392,2.271428571,2.692063492,0.96217687,1.631201814,1.393197278
6.567619047,6.536734693,1.777777777,1.294512471,1.66893424,2.387755102,3.228004535,1.00861678,1.825668934,1.56154195
6.793287981,6.783673469,2.046258503,1.545578231,1.859183673,2.512108843,3.637528344,1.094512471,1.967891156,1.65079365
6.971428571,7.008163265,2.205895691,1.816961451,2.023038548,2.614285714,3.984557823,1.280725623,2.188480725,1.832199546
7.09079365,7.242857142,2.318367346,2.049160997,2.224489795,2.71632653,4.274285714,1.357641723,2.348117913,1.941768707
7.31047619,7.475510204,2.604988662,2.461315192,2.356825396,2.857505668,4.784761904,1.399727891,2.522448979,2.210249433
7.431111111,7.712244897,2.887981859,2.591927437,2.563265306,3.107120181,5.32063492,1.487755102,2.931519274,2.458412698
7.664036281,7.940816326,3.170975056,2.664489795,2.694965986,3.467346938,5.71802721,1.666031746,3.715192743,2.727619047
7.824761904,8.169387755,3.468480725,2.783492063,3.053424036,3.810204081,5.97079365,1.741496598,3.883537414,3.012789115
7.989841269,8.410204081,3.661224489,3.137596371,3.230612244,4.082358276,6.347528344,1.789387755,4.061224489,3.259501133
8.144761904,8.657142857,3.762358276,3.233378684,3.387755102,4.150566893,6.852063492,1.870657596,4.260861678,3.436553287
8.339047619,8.85510204,4.039909297,3.49170068,3.719546485,4.60770975,7.117074829,2.05786848,4.432108843,3.537414965
8.469841269,9.071428571,4.310204081,3.808072562,3.912244897,4.835555555,7.383219954,2.131156462,4.585941043,3.712290249
8.66031746,9.328571428,4.49015873,4.008344671,4.063492063,4.948979591,7.657142857,2.168163265,4.789115646,3.784126984
8.805079365,9.589795918,4.57723356,4.160725623,4.390022675,5.089523809,7.693968253,2.275510204,4.940045351,3.980045351
9.015147392,9.783673469,4.856235827,4.524988662,4.583673469,5.4,7.732063492,2.442448979,5.175147392,4.086712018
9.178412698,10.04693878,5.122902494,4.690430839,4.752834467,5.773469387,7.762539682,2.518639455,5.305759637,4.343582766
9.32063492,10.27346939,5.418594104,4.765895691,4.928571428,6.034285714,7.799365079,2.570884353,5.514285714,4.595918367
9.514376417,10.52040816,5.696145124,4.897959183,5.092426303,6.124489795,7.843809523,2.648526077,5.880453514,4.871111111
9.683809523,10.71428571,5.872108843,5.259319727,5.273469387,6.21632653,8.175600907,2.761224489,6.655419501,5.048979591
9.826031746,10.97346939,6.002721088,5.389931972,5.44217687,6.33324263,8.66031746,2.859682539,6.815056689,5.126530612
10.03718821,11.21428571,6.161995464,5.456689342,5.594557823,6.428571428,8.933877551,2.951020408,7.032653061,5.391836734
10.40253968,11.49795918,6.254875283,5.569886621,5.937052154,6.524489795,9.201632653,3.05510204,7.218503401,5.53877551
10.57269841,11.68367347,6.397959183,5.89786848,6.151020408,6.669931972,9.264761904,3.147029478,7.35201814,5.656235827
10.72507937,11.93265306,6.536054421,6.269387755,6.484172335,6.905034013,9.482448979,3.249342403,7.531972789,5.808163265
10.89015873,12.14489796,6.669387755,6.623492063,6.65510204,7.10095238,9.734965986,3.340816326,7.743854875,5.902222222
11.07809524,12.3877551,6.771428571,6.826666666,6.81941043,7.296870748,9.887346938,3.453968253,7.880272108,6.091609977
